DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
Z 1 91.2 159.454 64 114 4 Z 1 91.2 225.474 -2 -206 9
b_quark 0 4.18 141.381 121 -67 -29 b_quark 0 4.18 174.575 -97 83 119
b_quark 0 4.18 88.9465 -63 -57 26 b_quark 0 4.18 189.474 103 157 25
b_quark 0 4.18 195.337 89 107 137 b_quark 0 4.18 91.0685 -62 -36 -56
tau+ 0 1.78 152.683 108 -94 -53 tau- 0 1.78 82.2446 -66 47 14
tau+ 0 1.78 206.102 -105 -115 135 tau- 0 1.78 156.122 39 143 -49
b_quark 0 4.18 106.111 45 -89 -36 b_quark 0 4.18 212.385 -127 169 20
b_quark 0 4.18 62.8369 -27 -39 41 b_quark 0 4.18 118.146 103 -14 56
b_quark 0 4.18 122.37 18 -88 -83 b_quark 0 4.18 184.725 -100 141 65
W+ 1 80.4 184.112 -111 46 -114 W- 1 80.4 234.286 124 17 181
b_quark 0 4.18 211.519 -111 -101 149 b_quark 0 4.18 253.879 184 55 -166
b_quark 0 4.18 94.2256 -86 -36 13 b_quark 0 4.18 70.4519 61 35 0
b_quark 0 4.18 112.794 -65 -4 92 b_quark 0 4.18 94.9762 55 7 -77
W+ 1 80.4 196.266 36 -122 126 W- 1 80.4 229.661 -78 190 -64
b_quark 0 4.18 188.211 -146 109 -47 b_quark 0 4.18 126.576 54 -92 68
b_quark 0 4.18 169.359 66 78 -135 b_quark 0 4.18 175.19 7 -105 140
W+ 1 80.4 216.634 -91 -136 117 W- 1 80.4 307.295 153 234 -99
b_quark 0 4.18 159.064 88 -104 -82 b_quark 0 4.18 110.37 -18 64 88
b_quark 0 4.18 222.611 135 97 148 b_quark 0 4.18 158.441 -58 -49 -139
b_quark 0 4.18 180.365 115 133 -40 b_quark 0 4.18 311.42 -210 -217 76
b_quark 0 4.18 138.407 -17 -93 101 b_quark 0 4.18 209.147 101 118 -140
W+ 1 80.4 142.633 -10 84 82 W- 1 80.4 156.583 102 -87 -9
b_quark 0 4.18 143.772 94 -51 -96 b_quark 0 4.18 206.779 -154 40 132
W+ 1 80.4 95.6826 -49 17 -1 W- 1 80.4 110.644 57 -15 -48
Z 1 91.2 222.422 137 44 -143 Z 1 91.2 268.582 -153 -3 201
W+ 1 80.4 188.799 -104 59 122 W- 1 80.4 126.658 12 -47 -85
W+ 1 80.4 169.166 -110 63 -78 W- 1 80.4 185.357 92 -102 95
b_quark 0 4.18 129.809 -74 11 106 b_quark 0 4.18 178.59 144 79 -70
b_quark 0 4.18 130.236 -52 92 -76 b_quark 0 4.18 231.563 152 -152 86
W+ 1 80.4 178.32 110 3 -115 W- 1 80.4 127.111 -78 -3 60
b_quark 0 4.18 108.496 108 -9 3 b_quark 0 4.18 140.073 -129 -51 19
W+ 1 80.4 216.761 -125 80 -136 W- 1 80.4 293.927 212 4 187
Z 1 91.2 158.932 -63 78 -83 Z 1 91.2 190.219 161 -44 -3
b_quark 0 4.18 183.569 -92 120 104 b_quark 0 4.18 272.291 168 -190 -99
b_quark 0 4.18 161.918 -100 -126 -18 b_quark 0 4.18 252.07 24 225 111
b_quark 0 4.18 70.1033 -42 53 18 b_quark 0 4.18 207.777 135 -140 73
W+ 1 80.4 118.942 -77 35 23 W- 1 80.4 141.454 29 -100 -52
tau+ 0 1.78 196.102 2 145 132 tau- 0 1.78 220.473 -52 -99 -190
b_quark 0 4.18 192.165 -135 27 134 b_quark 0 4.18 271.379 114 -93 -228
W+ 1 80.4 199.091 8 122 -135 W- 1 80.4 312.791 -43 -217 206
b_quark 0 4.18 248.955 -139 148 -144 b_quark 0 4.18 241.289 169 -61 161
b_quark 0 4.18 211.157 147 44 145 b_quark 0 4.18 226.796 -165 -13 -155
tau+ 0 1.78 150.38 31 107 -101 tau- 0 1.78 198.094 -5 -198 3
b_quark 0 4.18 146.934 -4 60 134 b_quark 0 4.18 228.426 -76 -52 -209
b_quark 0 4.18 185.393 -109 -34 -146 b_quark 0 4.18 259.943 118 27 230
W+ 1 80.4 184.123 -45 -64 146 W- 1 80.4 250.478 105 85 -195
W+ 1 80.4 176.689 123 49 -85 W- 1 80.4 198.769 -70 -124 113
b_quark 0 4.18 177.993 92 148 36 b_quark 0 4.18 265.726 -146 -214 -59
b_quark 0 4.18 168.984 45 88 137 b_quark 0 4.18 163.571 -41 -136 -81
b_quark 0 4.18 143.63 -112 88 18 b_quark 0 4.18 170.861 138 -36 -94
W+ 1 80.4 162.078 -134 43 0 W- 1 80.4 189.323 125 -115 23
W+ 1 80.4 163.163 -129 -59 -6 W- 1 80.4 134.396 49 -19 94
W+ 1 80.4 196.253 115 99 95 W- 1 80.4 215.732 -102 -166 -46
b_quark 0 4.18 152.038 -29 144 39 b_quark 0 4.18 169.161 61 -114 -109
b_quark 0 4.18 139.855 121 50 -49 b_quark 0 4.18 190.088 -174 -56 52
b_quark 0 4.18 133.725 -110 74 -17 b_quark 0 4.18 115.354 69 -92 -8
tau+ 0 1.78 155.564 -97 72 -98 tau- 0 1.78 159.941 89 -76 109
b_quark 0 4.18 192.54 -102 -75 -145 b_quark 0 4.18 238.517 58 97 210
W+ 1 80.4 146.035 -82 77 47 W- 1 80.4 214.719 162 20 -114
b_quark 0 4.18 149.022 110 73 69 b_quark 0 4.18 83.615 -19 -58 -57
b_quark 0 4.18 117.42 -17 109 -40 b_quark 0 4.18 160.385 92 -131 -9
b_quark 0 4.18 168.082 135 3 -100 b_quark 0 4.18 218.464 -202 -83 4
W+ 1 80.4 170.018 -104 -51 95 W- 1 80.4 194.559 67 130 -100
b_quark 0 4.18 201.19 134 150 2 b_quark 0 4.18 245.934 -56 -231 63
b_quark 0 4.18 170.269 98 41 -133 b_quark 0 4.18 145.803 -87 26 114
W+ 1 80.4 185.346 93 66 -122 W- 1 80.4 275.596 -180 -15 192
Z 1 91.2 182.979 -22 58 146 Z 1 91.2 228.422 -73 -71 -183
b_quark 0 4.18 137.089 -34 -14 132 b_quark 0 4.18 92.9057 35 -75 -42
W+ 1 80.4 166.668 -28 -109 -93 W- 1 80.4 207.037 20 156 108
W+ 1 80.4 175.873 85 -51 -121 W- 1 80.4 153.874 -13 -12 130
tau+ 0 1.78 165.958 63 -97 -119 tau- 0 1.78 230.376 -70 179 127
W+ 1 80.4 119.043 43 -37 67 W- 1 80.4 127.142 23 -46 -84
b_quark 0 4.18 104.783 -68 -43 -67 b_quark 0 4.18 35.2629 23 -11 -24
b_quark 0 4.18 148.248 10 74 128 b_quark 0 4.18 188.009 -11 -75 -172
tau+ 0 1.78 111.697 -6 71 86 tau- 0 1.78 124.612 50 -16 -113
b_quark 0 4.18 180.204 -146 -104 -18 b_quark 0 4.18 243.695 229 40 73
b_quark 0 4.18 97.2341 -24 5 -94 b_quark 0 4.18 67.3459 61 11 26
b_quark 0 4.18 189.332 89 -88 -142 b_quark 0 4.18 143.428 -103 27 96
b_quark 0 4.18 128.201 -99 -59 56 b_quark 0 4.18 242.201 168 114 -132
W+ 1 80.4 100.812 -3 51 33 W- 1 80.4 142.696 85 -52 63
b_quark 0 4.18 155.008 9 148 -45 b_quark 0 4.18 270.737 -10 -235 134
b_quark 0 4.18 152.818 -126 -8 -86 b_quark 0 4.18 207.476 102 36 177
Z 1 91.2 177.76 -104 111 -12 Z 1 91.2 167.016 135 -14 -34
b_quark 0 4.18 134.028 -61 41 112 b_quark 0 4.18 65.1419 -35 20 -51
b_quark 0 4.18 163.167 -29 -114 -113 b_quark 0 4.18 172.576 24 65 158
b_quark 0 4.18 126.564 -103 64 36 b_quark 0 4.18 122.113 117 -34 7
b_quark 0 4.18 154.698 -75 135 8 b_quark 0 4.18 289.182 158 -233 66
tau+ 0 1.78 140.247 -129 -33 44 tau- 0 1.78 87.6651 61 45 -44
b_quark 0 4.18 183.825 -43 146 -103 b_quark 0 4.18 143.117 66 -122 35
tau+ 0 1.78 89.0627 22 7 -86 tau- 0 1.78 183.924 -8 56 175
b_quark 0 4.18 194.724 118 90 -126 b_quark 0 4.18 229.699 -178 -72 126
tau+ 0 1.78 196.828 113 -88 -135 tau- 0 1.78 241.624 -205 73 105
b_quark 0 4.18 230.031 -138 142 -117 b_quark 0 4.18 315.335 135 -215 187
b_quark 0 4.18 134.679 -66 97 66 b_quark 0 4.18 176.679 106 -9 -141
b_quark 0 4.18 86.3335 26 -26 -78 b_quark 0 4.18 125.373 32 6 121
b_quark 0 4.18 127.273 50 -116 -15 b_quark 0 4.18 161.033 -83 137 -16
b_quark 0 4.18 98.2775 -77 -56 24 b_quark 0 4.18 169.869 166 -29 -21
b_quark 0 4.18 129.936 47 4 121 b_quark 0 4.18 136.321 6 -49 -127
tau+ 0 1.78 16.9165 -7 -15 3 tau- 0 1.78 73.6761 -15 60 40
W+ 1 80.4 150.802 -56 -90 71 W- 1 80.4 128.27 48 74 -47
b_quark 0 4.18 65.188 64 6 -10 b_quark 0 4.18 81.6178 26 28 72
b_quark 0 4.18 185.964 103 -130 84 b_quark 0 4.18 109.597 -92 43 -41
b_quark 0 4.18 121.089 -96 -70 23 b_quark 0 4.18 197.822 186 26 -62
b_quark 0 4.18 106.843 -33 65 -78 b_quark 0 4.18 200.266 -52 -163 104
b_quark 0 4.18 151.88 -51 55 -132 b_quark 0 4.18 78.8256 24 12 74
b_quark 0 4.18 120.123 38 98 58 b_quark 0 4.18 137.806 -84 -6 -109
b_quark 0 4.18 163.937 84 89 -109 b_quark 0 4.18 152.123 -100 -110 32
b_quark 0 4.18 73.9356 -63 34 -18 b_quark 0 4.18 94.9024 -12 -94 3
Z 1 91.2 207.168 -111 -86 122 Z 1 91.2 188.591 14 83 -142
W+ 1 80.4 126.685 -34 -50 77 W- 1 80.4 111.938 -24 39 -63
b_quark 0 4.18 132.542 -31 -58 115 b_quark 0 4.18 211.051 115 120 -130
b_quark 0 4.18 174.904 -93 -111 98 b_quark 0 4.18 193.996 172 52 -73
b_quark 0 4.18 159.297 125 97 18 b_quark 0 4.18 149.705 -143 -3 -44
W+ 1 80.4 124.198 -76 -49 28 W- 1 80.4 200.343 126 111 -74
b_quark 0 4.18 131.356 -87 -8 98 b_quark 0 4.18 195.434 122 98 -117
b_quark 0 4.18 119.689 84 84 14 b_quark 0 4.18 88.6931 -69 -48 28
W+ 1 80.4 214.982 120 -117 -108 W- 1 80.4 125.866 -72 63 15
b_quark 0 4.18 165.053 126 57 90 b_quark 0 4.18 202.305 -115 -42 -161
W+ 1 80.4 139.46 -90 39 58 W- 1 80.4 169.889 71 14 -131
W+ 1 80.4 186.111 131 104 14 W- 1 80.4 181.552 -84 -120 -71
b_quark 0 4.18 153.582 -25 -47 -144 b_quark 0 4.18 197.3 53 1 190
b_quark 0 4.18 163.06 5 139 -85 b_quark 0 4.18 160.544 -85 -134 24
b_quark 0 4.18 109.163 93 -21 53 b_quark 0 4.18 196.414 -191 12 44
b_quark 0 4.18 230.719 -122 -127 149 b_quark 0 4.18 309.264 177 227 -113
W+ 1 80.4 97.0627 -27 -28 -38 W- 1 80.4 136.485 92 -10 -60
W+ 1 80.4 201.787 122 -107 -89 W- 1 80.4 221.498 -36 174 105
b_quark 0 4.18 25.6802 1 4 25 b_quark 0 4.18 88.6311 25 -18 -83
b_quark 0 4.18 183.424 49 145 101 b_quark 0 4.18 247.383 -5 -234 -80
b_quark 0 4.18 142.529 -106 -15 94 b_quark 0 4.18 263.59 206 65 -151
b_quark 0 4.18 42.8774 -14 -35 -20 b_quark 0 4.18 53.5768 7 -10 -52
W+ 1 80.4 167.315 145 -19 -12 W- 1 80.4 160.241 -122 -48 -45
W+ 1 80.4 130.615 -76 -14 68 W- 1 80.4 205.908 113 91 -122
b_quark 0 4.18 102.316 71 -51 -53 b_quark 0 4.18 112.869 -61 80 51
tau+ 0 1.78 110.676 -85 -70 -11 tau- 0 1.78 153.858 114 -8 103
b_quark 0 4.18 172.625 -127 57 102 b_quark 0 4.18 234.656 141 -107 -154
b_quark 0 4.18 190.44 140 -39 123 b_quark 0 4.18 250.229 -239 24 -70
b_quark 0 4.18 197.29 69 137 -124 b_quark 0 4.18 246.517 -130 -118 173
b_quark 0 4.18 189.03 -95 -149 67 b_quark 0 4.18 192.246 118 56 -141
b_quark 0 4.18 149.808 130 70 25 b_quark 0 4.18 181.015 -78 -148 -69
b_quark 0 4.18 129.883 -34 120 -36 b_quark 0 4.18 173.406 8 -168 42
b_quark 0 4.18 127.932 -21 -32 -122 b_quark 0 4.18 128.831 -8 46 120
W+ 1 80.4 158.934 38 -66 -114 W- 1 80.4 189.26 -109 125 43
b_quark 0 4.18 204.532 -124 -138 -86 b_quark 0 4.18 210.439 35 191 81
b_quark 0 4.18 167.844 -71 108 107 b_quark 0 4.18 270.456 123 -180 -160
W+ 1 80.4 184.427 78 99 108 W- 1 80.4 217.876 -11 -198 -41
b_quark 0 4.18 202.157 -35 -149 -132 b_quark 0 4.18 286.586 -63 248 129
b_quark 0 4.18 66.6894 -38 45 -31 b_quark 0 4.18 106.313 95 -12 -46
W+ 1 80.4 163.304 -114 -58 -62 W- 1 80.4 151.954 89 89 -28
b_quark 0 4.18 139.512 -83 109 26 b_quark 0 4.18 122.713 103 -56 -36
b_quark 0 4.18 178.959 -95 -150 22 b_quark 0 4.18 230.503 27 224 47
W+ 1 80.4 128.523 1 -78 -63 W- 1 80.4 172.575 23 145 42
b_quark 0 4.18 219.507 -141 149 -78 b_quark 0 4.18 218.603 180 -51 113
b_quark 0 4.18 145.861 16 -41 139 b_quark 0 4.18 141.303 -5 132 -50
b_quark 0 4.18 158.665 -138 28 73 b_quark 0 4.18 148.871 95 -112 24
b_quark 0 4.18 83.7345 -72 37 -21 b_quark 0 4.18 72.5705 -8 -64 33
W+ 1 80.4 177.037 109 -111 -26 W- 1 80.4 224.328 -97 185 15
b_quark 0 4.18 172.839 -44 112 -124 b_quark 0 4.18 95.2443 -37 -47 74
W+ 1 80.4 136.968 -78 -46 -64 W- 1 80.4 188.532 30 -44 162
b_quark 0 4.18 66.6219 -16 -49 -42 b_quark 0 4.18 152.642 -47 97 108
b_quark 0 4.18 135.25 -77 -111 -5 b_quark 0 4.18 196.928 137 113 -85
b_quark 0 4.18 155.156 -84 98 -86 b_quark 0 4.18 255.097 24 -175 184
W+ 1 80.4 138.63 -19 -108 27 W- 1 80.4 127.394 -80 47 -34
b_quark 0 4.18 87.6896 -30 36 -74 b_quark 0 4.18 76.0163 72 -24 -1
b_quark 0 4.18 118.243 -78 -86 22 b_quark 0 4.18 191.973 114 124 -92
b_quark 0 4.18 100.337 95 -25 -20 b_quark 0 4.18 84.7377 -83 -7 -15
W+ 1 80.4 92.9578 37 -18 -22 W- 1 80.4 114.757 58 29 -50
Z 1 91.2 199.826 -117 -32 -130 Z 1 91.2 304.058 213 82 179
b_quark 0 4.18 159.046 -53 -145 38 b_quark 0 4.18 97.2238 35 61 -67
b_quark 0 4.18 130.799 59 113 -29 b_quark 0 4.18 201.572 22 -199 23
b_quark 0 4.18 192.558 127 14 -144 b_quark 0 4.18 208.62 -96 80 167
b_quark 0 4.18 150.743 -148 -21 19 b_quark 0 4.18 185.514 182 -7 35
tau+ 0 1.78 80.3192 60 -12 -52 tau- 0 1.78 77.1827 -20 -73 -15
b_quark 0 4.18 92.1058 -79 -25 -40 b_quark 0 4.18 121.027 27 115 26
W+ 1 80.4 133.933 -28 -69 -77 W- 1 80.4 109.782 -62 40 12
b_quark 0 4.18 123.853 101 60 39 b_quark 0 4.18 138.663 -69 7 -120
W+ 1 80.4 123.321 26 88 -18 W- 1 80.4 162.05 -76 -94 -72
b_quark 0 4.18 129.137 111 -57 -33 b_quark 0 4.18 172.599 -156 69 -26
W+ 1 80.4 183.886 -65 110 105 W- 1 80.4 240.679 111 -129 -150
W+ 1 80.4 171.164 19 -146 34 W- 1 80.4 257.702 -11 244 -17
b_quark 0 4.18 150.806 -78 -129 0 b_quark 0 4.18 63.5332 11 33 53
b_quark 0 4.18 160.743 -74 -116 83 b_quark 0 4.18 207.448 79 190 -26
b_quark 0 4.18 160.946 31 117 -106 b_quark 0 4.18 210.939 2 -155 143
b_quark 0 4.18 86.3161 82 22 15 b_quark 0 4.18 119.693 -2 -88 81
b_quark 0 4.18 172.115 -101 19 138 b_quark 0 4.18 101.816 6 -43 -92
b_quark 0 4.18 169.347 28 -81 146 b_quark 0 4.18 130.39 -12 54 -118
b_quark 0 4.18 135.586 -98 89 29 b_quark 0 4.18 74.5417 57 -9 -47
b_quark 0 4.18 134.664 -104 49 -70 b_quark 0 4.18 217.505 195 -79 55
b_quark 0 4.18 184.899 -137 -124 -5 b_quark 0 4.18 142.602 126 31 -59
b_quark 0 4.18 90.8596 35 -17 82 b_quark 0 4.18 127.896 -96 -50 -68
b_quark 0 4.18 195.426 -118 115 105 b_quark 0 4.18 192.682 78 -89 -152
b_quark 0 4.18 179.576 -75 -134 -93 b_quark 0 4.18 108.731 37 94 40
b_quark 0 4.18 130.811 73 -103 34 b_quark 0 4.18 218.398 -120 176 -48
tau+ 0 1.78 106.715 25 98 -34 tau- 0 1.78 99.5448 59 -61 -52
b_quark 0 4.18 133.71 -70 -80 81 b_quark 0 4.18 177.21 167 59 -4
tau+ 0 1.78 42.8739 21 -5 37 tau- 0 1.78 136.558 46 -20 -127
b_quark 0 4.18 174.967 108 116 74 b_quark 0 4.18 283.37 -206 -186 -57
W+ 1 80.4 210.44 -110 -85 136 W- 1 80.4 266.085 88 183 -152
W+ 1 80.4 194.294 -77 74 141 W- 1 80.4 296.24 73 -139 -238
W+ 1 80.4 153.027 20 13 128 W- 1 80.4 213.926 -98 -64 -160
W+ 1 80.4 223.097 134 86 -134 W- 1 80.4 197.51 -107 -19 144
b_quark 0 4.18 183.735 128 -131 14 b_quark 0 4.18 278.33 -175 216 -13
W+ 1 80.4 223.056 148 -19 145 W- 1 80.4 144.738 -90 12 -79
b_quark 0 4.18 209.137 -144 -28 149 b_quark 0 4.18 80.8917 51 -26 -57
W+ 1 80.4 177.113 143 66 -10 W- 1 80.4 186.556 -167 3 -21
b_quark 0 4.18 175.78 139 -34 102 b_quark 0 4.18 178.187 -54 16 -169
W+ 1 80.4 123.795 -90 -20 19 W- 1 80.4 86.8859 -10 -12 29
W+ 1 80.4 188.82 -102 -73 116 W- 1 80.4 249.884 132 85 -177
b_quark 0 4.18 146.432 25 80 -120 b_quark 0 4.18 206.919 -95 -62 173
b_quark 0 4.18 138.62 118 -57 45 b_quark 0 4.18 133.763 -111 15 -73
b_quark 0 4.18 182.843 -79 -82 143 b_quark 0 4.18 122.811 86 10 -87
W+ 1 80.4 99.7756 17 39 -41 W- 1 80.4 133.997 31 27 99
W+ 1 80.4 163.717 -27 17 -139 W- 1 80.4 197.619 -3 48 174
b_quark 0 4.18 121.735 -116 -35 -11 b_quark 0 4.18 193.841 176 41 -70
b_quark 0 4.18 194.603 139 6 -136 b_quark 0 4.18 243.997 -204 -99 90
b_quark 0 4.18 125.234 88 41 -79 b_quark 0 4.18 60.6587 -59 9 10
b_quark 0 4.18 60.3612 39 16 43 b_quark 0 4.18 29.8575 27 -12 -1
tau+ 0 1.78 168.693 105 110 -73 tau- 0 1.78 221.344 -133 -175 -26
b_quark 0 4.18 55.8075 26 39 30 b_quark 0 4.18 153.086 -119 59 -76
b_quark 0 4.18 70.5866 65 22 16 b_quark 0 4.18 136.914 -134 14 24
b_quark 0 4.18 191.069 120 -47 141 b_quark 0 4.18 174.076 -123 84 -90
b_quark 0 4.18 106.67 -20 -31 100 b_quark 0 4.18 252.837 102 129 -192
b_quark 0 4.18 158.261 88 122 -49 b_quark 0 4.18 126.41 -97 -37 72
b_quark 0 4.18 176.874 123 127 3 b_quark 0 4.18 259.234 -220 -136 -17
W+ 1 80.4 144.392 71 88 -40 W- 1 80.4 123.746 -14 -93 2
b_quark 0 4.18 161.033 68 97 109 b_quark 0 4.18 261.051 5 -181 -188
b_quark 0 4.18 139.522 -126 -18 -57 b_quark 0 4.18 180.373 145 26 104
W+ 1 80.4 159.584 97 -75 63 W- 1 80.4 108.596 -64 33 12
W+ 1 80.4 161.994 -12 -95 -103 W- 1 80.4 161.821 -5 116 79
W+ 1 80.4 166.932 -63 -3 132 W- 1 80.4 135.828 -34 98 -35
W+ 1 80.4 179.653 -119 -99 -43 W- 1 80.4 122.98 56 30 68
W+ 1 80.4 146.646 17 116 36 W- 1 80.4 147.679 73 -100 -4
b_quark 0 4.18 168.693 -54 132 90 b_quark 0 4.18 285.975 58 -224 -168
b_quark 0 4.18 166.393 98 41 128 b_quark 0 4.18 194.022 -63 -13 -183
W+ 1 80.4 234.964 146 -112 -122 W- 1 80.4 269.129 -239 77 54
b_quark 0 4.18 152.242 76 130 22 b_quark 0 4.18 284.449 -155 -230 63
b_quark 0 4.18 70.3312 68 4 -17 b_quark 0 4.18 133.714 -77 -22 107
b_quark 0 4.18 137.799 -101 47 -81 b_quark 0 4.18 181.28 96 -115 102
b_quark 0 4.18 208.239 -99 131 -128 b_quark 0 4.18 291.351 168 -112 210
b_quark 0 4.18 191.255 116 121 -92 b_quark 0 4.18 221.773 -215 -50 21
b_quark 0 4.18 89.1206 -60 31 -58 b_quark 0 4.18 149.718 -37 2 145
W+ 1 80.4 175.038 53 121 -82 W- 1 80.4 127.79 44 -81 37
b_quark 0 4.18 123.78 -114 48 2 b_quark 0 4.18 142.792 64 -126 -20
b_quark 0 4.18 82.8219 -47 -68 -3 b_quark 0 4.18 118.002 97 63 -23
Z 1 91.2 157.497 118 8 50 Z 1 91.2 207.074 -171 -35 -64
b_quark 0 4.18 206.309 -89 -136 -127 b_quark 0 4.18 238.561 23 131 198
W+ 1 80.4 170.828 111 14 -101 W- 1 80.4 259.39 -167 -91 157
b_quark 0 4.18 189.091 143 -117 40 b_quark 0 4.18 118.023 -114 30 -4
b_quark 0 4.18 98.7445 -30 -88 -33 b_quark 0 4.18 132.821 -42 118 -44
b_quark 0 4.18 125.851 -26 -108 59 b_quark 0 4.18 121.237 105 34 -50
W+ 1 80.4 166.127 -102 -53 89 W- 1 80.4 196.495 59 147 -84
b_quark 0 4.18 218.327 -143 104 -128 b_quark 0 4.18 168.177 92 -109 89
W+ 1 80.4 185.896 84 -106 -99 W- 1 80.4 224.976 -66 163 115
b_quark 0 4.18 147.199 -59 -112 75 b_quark 0 4.18 139.995 37 134 16
b_quark 0 4.18 121.682 -17 -102 -64 b_quark 0 4.18 56.4223 -49 21 -18
Z 1 91.2 208.342 148 -63 -96 Z 1 91.2 279.06 -166 105 176
b_quark 0 4.18 211.309 133 104 127 b_quark 0 4.18 328.112 -190 -196 -182
W+ 1 80.4 222.61 127 69 -149 W- 1 80.4 282.433 -180 -10 202
b_quark 0 4.18 185.931 122 30 137 b_quark 0 4.18 128.788 -51 -48 -108
b_quark 0 4.18 125.632 6 33 121 b_quark 0 4.18 247.011 -102 -88 -207
b_quark 0 4.18 122.949 37 -43 109 b_quark 0 4.18 153.943 -66 110 -85
tau+ 0 1.78 192.544 -147 -65 106 tau- 0 1.78 258.842 176 92 -166
tau+ 0 1.78 120.267 42 96 59 tau- 0 1.78 208.976 -64 -194 -44
b_quark 0 4.18 109.025 13 -36 102 b_quark 0 4.18 141.062 -52 -61 -116
b_quark 0 4.18 85.396 47 -29 65 b_quark 0 4.18 128.06 -121 30 -29
b_quark 0 4.18 92.2305 67 52 36 b_quark 0 4.18 184.107 -161 -89 6
b_quark 0 4.18 32.0542 29 0 -13 b_quark 0 4.18 124.718 -118 -38 -13
b_quark 0 4.18 149.548 -145 -19 -31 b_quark 0 4.18 74.2864 68 6 29
tau+ 0 1.78 75.121 -62 -14 40 tau- 0 1.78 95.4839 88 -37 -1
b_quark 0 4.18 138.052 31 116 -68 b_quark 0 4.18 187.373 -121 -115 85
W+ 1 80.4 220.448 -47 -132 -150 W- 1 80.4 264.055 64 134 203
W+ 1 80.4 209.108 121 -150 11 W- 1 80.4 290.031 -174 217 17
b_quark 0 4.18 101.781 42 -57 73 b_quark 0 4.18 67.7013 2 61 -29
Z 1 91.2 172.321 140 -39 -16 Z 1 91.2 203.871 -151 61 -82
b_quark 0 4.18 90.1747 -12 67 -59 b_quark 0 4.18 192.475 -70 -152 95
b_quark 0 4.18 207.081 -141 22 -150 b_quark 0 4.18 291.142 171 41 232
W+ 1 80.4 146.936 -110 55 1 W- 1 80.4 178.531 156 -7 32
W+ 1 80.4 134.183 49 -92 26 W- 1 80.4 129.349 -85 51 -21
b_quark 0 4.18 150.836 107 106 -7 b_quark 0 4.18 185.374 -153 -104 11
b_quark 0 4.18 164.568 2 135 -94 b_quark 0 4.18 219.744 -10 -127 179
b_quark 0 4.18 67.2047 7 -61 27 b_quark 0 4.18 85.3374 56 60 23
b_quark 0 4.18 156.788 -15 126 92 b_quark 0 4.18 138.919 31 -128 -44
b_quark 0 4.18 31.2965 0 -31 1 b_quark 0 4.18 97.8697 -64 -37 -64
b_quark 0 4.18 120.956 -50 -52 97 b_quark 0 4.18 207.332 8 64 -197
b_quark 0 4.18 132.41 -75 -89 -63 b_quark 0 4.18 111.16 3 111 3
b_quark 0 4.18 192.558 39 -124 142 b_quark 0 4.18 104.53 -10 72 -75
b_quark 0 4.18 210.652 124 105 134 b_quark 0 4.18 264.219 -97 -81 -232
W+ 1 80.4 97.479 -50 -23 -3 W- 1 80.4 150.911 111 -25 -58
W+ 1 80.4 153.092 53 -50 108 W- 1 80.4 131.443 24 69 -74
b_quark 0 4.18 44.4125 -5 -43 9 b_quark 0 4.18 138.504 89 38 -99
b_quark 0 4.18 178.694 80 -145 -67 b_quark 0 4.18 222.253 -123 151 107
b_quark 0 4.18 218.994 121 126 132 b_quark 0 4.18 172.309 -58 -130 -97
Z 1 91.2 191.237 -85 70 127 Z 1 91.2 286.71 174 -128 -165
b_quark 0 4.18 131.002 -18 44 -122 b_quark 0 4.18 181.999 -51 -124 123
W+ 1 80.4 138.051 67 59 -68 W- 1 80.4 177.556 -38 -133 77
b_quark 0 4.18 183.797 -76 148 -78 b_quark 0 4.18 236.056 150 -178 39
b_quark 0 4.18 152.612 1 -86 -126 b_quark 0 4.18 133.021 -19 96 90
b_quark 0 4.18 152.691 -142 -18 53 b_quark 0 4.18 276.329 232 54 -140
b_quark 0 4.18 209.768 102 -134 125 b_quark 0 4.18 198.087 -88 169 -54
b_quark 0 4.18 166.627 47 113 -113 b_quark 0 4.18 235.812 -77 -85 206
b_quark 0 4.18 118.686 -7 114 32 b_quark 0 4.18 155.536 75 -135 -18
Z 1 91.2 154.94 36 -43 112 Z 1 91.2 155.661 -12 -37 -120
b_quark 0 4.18 139.009 -91 84 63 b_quark 0 4.18 231.282 87 -151 -152
Z 1 91.2 164.409 110 -23 -78 Z 1 91.2 260.082 -170 -76 157
b_quark 0 4.18 196.305 -21 -126 149 b_quark 0 4.18 197.716 -57 79 -172
b_quark 0 4.18 187.975 -114 64 -135 b_quark 0 4.18 71.0456 34 -25 57
b_quark 0 4.18 147.971 -17 -135 58 b_quark 0 4.18 102.813 6 41 -94
b_quark 0 4.18 129.489 -105 53 -54 b_quark 0 4.18 144.206 124 41 61
b_quark 0 4.18 130.658 93 -41 -82 b_quark 0 4.18 168.403 -114 111 55
b_quark 0 4.18 147.005 -23 142 -30 b_quark 0 4.18 220.632 81 -202 36
b_quark 0 4.18 136.2 1 134 24 b_quark 0 4.18 167.223 9 -163 -36
W+ 1 80.4 175.54 -147 25 46 W- 1 80.4 208.31 182 58 21
b_quark 0 4.18 221.069 135 -98 -145 b_quark 0 4.18 297.401 -222 161 115
